ID_REF	pre_2_VALUE
222079_at	22.7
222078_at	32.6
222077_s_at	49.8
222076_at	4.7
222075_s_at	31.2
222074_at	62.5
222073_at	18.3
222072_at	11.8
222071_s_at	59.6
222070_at	16.5
222069_s_at	2.4
222068_s_at	13.6
222067_x_at	167.1
222066_at	4.7
222065_s_at	163.4
222064_s_at	69
222063_s_at	24.6
222062_at	77
222061_at	60.3
222060_at	11.3
222059_at	81.9
222058_at	114.6
222057_at	12.3
222056_s_at	22.8
222055_at	11.8
222054_at	11.1
222053_at	60.5
222052_at	41
222051_s_at	37.8
222050_at	9.9
222049_s_at	6.9
222048_at	74.7
222047_s_at	368.6
222046_at	111.4
222045_s_at	48.2
222044_at	45.8
222043_at	33.1
222042_x_at	41.8
222041_at	106.1
222040_at	119.6
222039_at	64.6
222038_s_at	31.9
222037_at	18.5
222036_s_at	3.2
222035_s_at	41.2
222034_at	36.1
222033_s_at	23.8
222032_s_at	75.9
222031_at	2.7
222030_at	57.4
222029_x_at	63.9
222028_at	77.7
222027_at	100
222026_at	15.9
222025_s_at	16.7
222024_s_at	271.6
222023_at	55.3
222022_at	86
222021_x_at	605.1
222020_s_at	1.7
222019_at	16.9
222018_at	9.8
222017_x_at	31.1
222016_s_at	22
222015_at	17.5
222014_x_at	82.2
222013_x_at	4.7
222012_at	48.7
222011_s_at	81
222010_at	55.6
222009_at	9.4
222008_at	10.9
222007_s_at	3.3
222006_at	14.5
222005_s_at	105.5
222004_s_at	8
222003_s_at	14.1
222002_at	8.7
222001_x_at	457.5
222000_at	175.9
221999_at	179.4
221998_s_at	97.2
221997_s_at	44
221996_s_at	24.9
221995_s_at	66.6
221994_at	4.1
221993_s_at	4.2
221992_at	11.6
221991_at	111.6
221990_at	38.4
221989_at	81.5
221988_at	140.5
221987_s_at	39.4
221986_s_at	2.8
221985_at	64.7
221984_s_at	556.4
221983_at	400.1
221982_x_at	9.3
221981_s_at	16
221980_at	158.1
221979_at	24.1
221978_at	282
221977_at	3.3
221976_s_at	11.8
221975_s_at	7.5
221974_at	24
221973_at	69.2
221972_s_at	3.5
221971_x_at	81.1
221970_s_at	163.5
221969_at	214.3
221968_s_at	20.3
221967_at	55.2
221966_at	29.2
221965_at	112.4
221964_at	103.8
221963_x_at	103.9
221962_s_at	13.4
221961_at	12.7
221960_s_at	53
221959_at	5.2
221958_s_at	156.8
221957_at	135.9
221956_at	48.2
221955_at	3.6
221954_at	227.9
221953_s_at	12.6
221952_x_at	1015.1
221951_at	136.2
221950_at	4.9
221949_at	16.1
221948_s_at	20.3
221947_at	53.7
221946_at	4.5
221945_at	31.6
221944_at	14.3
221943_x_at	954.1
221942_s_at	152.7
221941_at	16.3
221940_at	108
221939_at	22
221938_x_at	180
221937_at	234.7
221936_x_at	8.3
221935_s_at	16.3
221934_s_at	86.8
221933_at	4.4
221932_s_at	696.2
221931_s_at	114.2
221930_at	111.8
221929_at	118.9
221928_at	9.3
221927_s_at	55.2
221926_s_at	15.7
221925_s_at	78.6
221924_at	52.8
221923_s_at	279.1
221922_at	26.8
221921_s_at	22.2
221920_s_at	1178.8
221919_at	70.3
221918_at	194.3
221917_s_at	39.1
221916_at	59.8
221915_s_at	63.8
221914_at	16.9
221913_at	78.6
221912_s_at	10
221911_at	6.1
221910_at	65.8
221909_at	5.6
221908_at	10.4
221907_at	145.1
221906_at	52.4
221905_at	95.5
221904_at	161
221903_s_at	141.7
221902_at	35.2
221901_at	12.7
221900_at	11.2
221899_at	761.2
221898_at	79.1
221897_at	110
221896_s_at	62.8
221895_at	345.7
221894_at	10
221893_s_at	72.4
221892_at	44.6
221891_x_at	1265.1
221890_at	28.7
221889_at	69.1
221888_at	79.5
221887_s_at	9.7
221886_at	4.5
221885_at	4.9
221884_at	2.1
221883_at	23
221882_s_at	152.4
221881_s_at	15.9
221880_s_at	31.7
221879_at	64.1
221878_at	22.2
221877_at	48.1
221876_at	176.3
221875_x_at	2887.7
221874_at	73.9
221873_at	93.2
221872_at	5.5
221871_s_at	91.3
221870_at	26.2
221869_at	35.4
221868_at	88.3
221867_at	64.4
221866_at	34.4
221865_at	83.5
221864_at	162.7
221863_at	11.7
221862_at	90
221861_at	145.1
221860_at	116.4
221859_at	212.3
221858_at	8.9
221857_s_at	124.5
221856_s_at	195.6
221855_at	247.3
221854_at	4.2
221853_s_at	116.7
221852_at	4.9
221851_at	4.5
221850_x_at	309
221849_s_at	8.7
221848_at	37.5
221847_at	30.4
221846_s_at	19.7
221845_s_at	166.3
221844_x_at	382.7
221843_s_at	20
221842_s_at	185.2
221841_s_at	111.8
221840_at	469.9
221839_s_at	139.5
221838_at	18.4
221837_at	4.2
221836_s_at	130.3
221835_at	8.5
221834_at	289
221833_at	69.8
221832_s_at	92.4
221831_at	70.8
221830_at	24.2
221829_s_at	221.9
221828_s_at	33
221827_at	290.8
221826_at	54.2
221825_at	116.4
221824_s_at	762.9
221823_at	11.6
221822_at	34.8
221821_s_at	73.4
221820_s_at	199.9
221819_at	409.9
221818_at	149.4
221817_at	225.1
221816_s_at	372.5
221815_at	44.3
221814_at	10.3
221813_at	86.6
221812_at	18.9
221811_at	74.1
221810_at	9.6
221809_at	14.2
221808_at	136.6
221807_s_at	21.5
221806_s_at	344.3
221805_at	43.3
221804_s_at	671.9
221803_s_at	152.7
221802_s_at	37.3
221801_x_at	42.2
221800_s_at	112.1
221799_at	7.5
221798_x_at	11079
221797_at	50.3
221796_at	25.8
221795_at	5.8
221794_at	19.6
221793_at	27.3
221792_at	162.3
221791_s_at	418.5
221790_s_at	219.4
221789_x_at	86.4
221788_at	7.7
221787_at	13.9
221786_at	74.9
221785_at	14.3
221784_at	9.4
221783_at	42.4
221782_at	36.9
221781_s_at	8.9
221780_s_at	99.6
221779_at	22.5
221778_at	189.6
221777_at	39.2
221776_s_at	54.3
221775_x_at	1646.5
221774_x_at	132.5
221773_at	89.7
221772_s_at	5.5
221771_s_at	35.6
221770_at	8.1
221769_at	19.1
221768_at	135.7
221767_x_at	46.4
221766_s_at	182.2
221765_at	21.6
221764_at	2897.3
221763_at	125.1
221762_s_at	56.3
221761_at	207.7
221760_at	56.3
221759_at	7.3
221758_at	85.6
221757_at	195.7
221756_at	305.8
221755_at	63.1
221754_s_at	7.3
221753_at	83.3
221752_at	151.7
221751_at	67.7
221750_at	25.1
221749_at	87
221748_s_at	211.4
221747_at	22.7
221746_at	59.1
221745_at	100.6
221744_at	71.8
221743_at	549.6
221742_at	196.8
221741_s_at	175.5
221740_x_at	49.9
221739_at	261.9
221738_at	8.3
221737_at	73.7
221736_at	142.7
221735_at	110.2
221734_at	28.5
221733_s_at	103.8
221732_at	107.9
221731_x_at	1562.1
221730_at	5.2
221729_at	52
221728_x_at	53.7
221727_at	51.8
221726_at	572.9
221725_at	229.8
221724_s_at	82.7
221723_s_at	44.7
221722_x_at	22.7
221721_s_at	3.7
221720_s_at	8.9
221719_s_at	18.2
221718_s_at	207.8
221717_at	37.5
221716_s_at	13.9
221715_at	10.2
221714_s_at	25.8
221713_s_at	13.5
221712_s_at	69.7
221711_s_at	307.3
221710_x_at	9.5
221709_s_at	12.8
221708_s_at	79.3
221707_s_at	155.9
221706_s_at	77.2
221705_s_at	58.4
221704_s_at	112.3
221703_at	2.6
221702_s_at	347.1
221701_s_at	54.5
221700_s_at	9025
221699_s_at	78.6
221698_s_at	1312.5
221697_at	7.7
221696_s_at	64.5
221695_s_at	48
221693_s_at	171.7
221692_s_at	21
221691_x_at	111.1
221690_s_at	28.3
221689_s_at	120.8
221688_s_at	300.4
221687_s_at	76.6
221686_s_at	46.5
221685_s_at	9.6
221684_s_at	81.5
221683_s_at	41.6
221682_s_at	2.2
221681_s_at	15.7
221680_s_at	108.5
221679_s_at	11.2
221678_at	2.4
221677_s_at	5.4
221676_s_at	239.2
221675_s_at	327.7
221674_s_at	139.3
221673_s_at	11.5
221672_s_at	13
221671_x_at	1609.8
221670_s_at	145.5
221669_s_at	64.2
221668_s_at	23.7
221667_s_at	8.3
221666_s_at	112.5
221665_s_at	9.7
221664_s_at	295.1
221663_x_at	32
221662_s_at	75.1
221661_at	43.2
221660_at	47.6
221659_s_at	31.5
221658_s_at	41.8
221657_s_at	7.4
221656_s_at	47.7
221655_x_at	73.3
221654_s_at	895.8
221653_x_at	169.7
221652_s_at	14.1
221651_x_at	1655.4
221650_s_at	6.5
221649_s_at	7.4
221648_s_at	65.7
221647_s_at	153.6
221646_s_at	71.2
221645_s_at	24.3
221644_s_at	13.9
221643_s_at	88.9
221642_at	87.3
221641_s_at	144.8
221640_s_at	12.6
221639_x_at	17.9
221638_s_at	51.8
221637_s_at	114.5
221636_s_at	22
221634_at	64.7
221633_at	21
221632_s_at	50
221631_at	144.9
221630_s_at	3
221629_x_at	111.4
221628_s_at	63.1
221627_at	162.9
221626_at	62.6
221625_at	88.8
221624_at	83.4
221623_at	2.7
221622_s_at	88.6
221621_at	86.2
221620_s_at	117.3
221619_s_at	522.1
221618_s_at	1.8
221617_at	97.3
221616_s_at	67.3
221615_at	68.9
221614_s_at	55.2
221613_s_at	267.2
221612_at	20.3
221611_s_at	53.4
221610_s_at	13.1
221609_s_at	14
221608_at	2.8
221607_x_at	7518.6
221606_s_at	3.6
221605_s_at	20.1
221604_s_at	82.3
221603_at	158.1
221602_s_at	195.1
221601_s_at	680
221600_s_at	89
221599_at	12.4
221598_s_at	4
221597_s_at	134.1
221596_s_at	44.2
221595_at	4.8
221594_at	9
221593_s_at	75.5
221592_at	12.5
221591_s_at	36.7
221590_s_at	54.8
221589_s_at	57
221588_x_at	65.8
221587_s_at	90.8
221586_s_at	10.6
221585_at	14.9
221584_s_at	3.6
221583_s_at	9
221582_at	152.9
221581_s_at	491.7
221580_s_at	71
221579_s_at	102.5
221578_at	19.9
221577_x_at	54.7
221576_at	3.2
221575_at	182.2
221573_at	4.4
221572_s_at	3.7
221571_at	109.2
221570_s_at	66.1
221569_at	80.5
221568_s_at	43.1
221567_at	17
221566_s_at	9.6
