ID_REF	control_13_VALUE
222356_at	26.4
222355_at	47.9
222354_at	13.4
222353_at	5.1
222352_at	38.1
222351_at	23.6
222350_at	4.4
222349_x_at	25.6
222348_at	6.7
222347_at	5.8
222346_at	12.5
222345_at	39.5
222344_at	24.6
222343_at	42.3
222342_at	5.9
222341_x_at	13.9
222340_at	32.2
222339_x_at	172.3
222338_x_at	145.7
222337_at	8
222336_at	23.7
222335_at	1.6
222334_at	129.6
222333_at	173.5
222332_at	19
222331_at	10.4
222330_at	31.7
222329_x_at	110.3
222328_x_at	87.8
222327_x_at	103.8
222326_at	97.3
222325_at	1.6
222324_at	8.1
222323_at	14.4
222322_at	24.2
222321_at	64.1
222320_at	30.7
222319_at	105.4
222318_at	111.3
222317_at	2.1
222316_at	103.8
222315_at	58.4
222314_x_at	13.9
222313_at	3.1
222312_s_at	40.6
222311_s_at	83.9
222310_at	59
222309_at	35.9
222308_x_at	4
222307_at	6
222306_at	13.3
222305_at	7.5
222304_x_at	51.2
222303_at	113.8
222302_at	19.7
222301_at	88.6
222300_at	59.3
222299_x_at	0.9
222298_at	2.1
222297_x_at	286.5
222296_at	5.6
222295_x_at	91
222294_s_at	105
222293_at	33.1
222292_at	10.5
222291_at	38.8
222290_at	79.7
222289_at	11.4
222288_at	4.7
222287_at	10.6
222286_at	67.2
222285_at	35.5
222284_at	91
222283_at	46
222282_at	302.4
222281_s_at	85.5
222280_at	174.9
222279_at	113.5
222278_at	21.3
222277_at	82.5
222276_at	3.1
222275_at	87
222274_at	5.6
222273_at	56.3
222272_x_at	22.2
222271_at	99.3
222270_at	12.6
222269_at	12
222268_x_at	3
222267_at	6.6
222266_at	102.4
222265_at	64
222264_at	218.1
222263_at	28.9
222262_s_at	66.3
222261_at	9.7
222260_at	18.8
222259_s_at	8.1
222258_s_at	22.1
222257_s_at	19.5
222256_s_at	33.2
222255_at	6.7
222254_at	39.1
222253_s_at	29.9
222252_x_at	175
222251_s_at	55.4
222250_s_at	13.6
222249_at	16.3
222248_s_at	6.4
222247_at	55.2
222246_at	3.1
222245_s_at	92.6
222244_s_at	571.3
222243_s_at	106
222242_s_at	124
222241_at	75.1
222240_s_at	11.6
222239_s_at	57.5
222238_s_at	22.7
222237_s_at	10.7
222236_s_at	33.4
222235_s_at	16.2
222234_s_at	24.4
222233_s_at	39.1
222231_s_at	334.8
222230_s_at	89.6
222229_x_at	114.6
222228_s_at	65.1
222227_at	36.3
222226_at	6.5
222225_at	13.2
222224_at	2.3
222223_s_at	63.3
222222_s_at	3.4
222221_x_at	45.3
222220_s_at	10.1
222219_s_at	16.2
222218_s_at	676.9
222217_s_at	80.5
222216_s_at	21
222215_at	25.6
222214_at	30.1
222213_x_at	66.4
222212_s_at	411.8
222211_x_at	54.7
222210_at	3.3
222209_s_at	3.3
222208_s_at	100
222207_x_at	442.1
222206_s_at	19.8
222205_x_at	7.8
222204_s_at	44.6
222203_s_at	50
222202_at	11.4
222201_s_at	5.4
222200_s_at	84.9
222199_s_at	246.5
222198_at	11.4
222197_s_at	39
222196_at	10.6
222195_s_at	20.5
222194_at	38.4
222193_at	148.2
222192_s_at	48.8
222191_s_at	55.1
222190_s_at	3.5
222189_at	56.4
222188_at	34.6
222187_x_at	278.7
222186_at	6.3
222185_at	216.7
222184_at	64.4
222183_x_at	32.9
222182_s_at	203.4
222181_at	59.6
222180_at	12.4
222179_at	54.6
222178_s_at	51.4
222177_s_at	5.8
222176_at	36.5
222175_s_at	235.8
222174_at	3.1
222173_s_at	4.3
222172_at	4
222171_s_at	3.1
222170_at	39.4
222169_x_at	60.1
222168_at	9.3
222167_at	33
222166_at	65
222165_x_at	41.3
222164_at	43.7
222163_s_at	142.8
222162_s_at	47.4
222161_at	4.8
222160_at	152.6
222159_at	75.4
222158_s_at	39.7
222157_s_at	10.8
222156_x_at	9.9
222155_s_at	36.5
222154_s_at	67.5
222153_at	6.3
222152_at	194.8
222151_s_at	79
222150_s_at	40.7
222149_x_at	87.5
222148_s_at	66.9
222147_s_at	54.7
222146_s_at	81.6
222145_at	6.3
222144_at	77.3
222143_s_at	306.9
222142_at	6.3
222141_at	25.3
222140_s_at	17.6
222139_at	34.5
222138_s_at	30.4
222137_at	9.3
222136_x_at	66.2
222135_at	2.4
222134_at	24.5
222133_s_at	141.4
222132_s_at	87.6
222131_x_at	102.3
222130_s_at	100.6
222129_at	213.4
222128_at	3.7
222127_s_at	108.2
222126_at	52
222125_s_at	174.4
222124_at	9.7
222123_s_at	40.4
222122_s_at	176.9
222121_at	1.2
222120_at	17.6
222119_s_at	114
222118_at	72.8
222117_s_at	25.9
222116_s_at	18.2
222115_x_at	45.1
222114_x_at	9.5
222113_s_at	109
222112_at	2
222111_at	23.2
222110_at	63.2
222109_at	43.9
222108_at	47.9
222107_x_at	26.6
222106_at	14.5
222105_s_at	19.5
222104_x_at	156.8
222103_at	3.8
222102_at	21.7
222101_s_at	91.9
222100_at	7.4
222099_s_at	213.3
222098_s_at	53.7
222097_at	136.3
222096_x_at	96.2
222095_s_at	16.3
222094_at	105.3
222093_s_at	44.1
222092_at	19.4
222091_at	45.7
222090_at	10.1
222089_s_at	14.7
222088_s_at	229
222087_at	97.8
222086_s_at	4.6
222085_at	7.8
222084_s_at	6.7
222083_at	29.1
222082_at	93.6
222081_at	17.4
222080_s_at	57.3
222079_at	86.2
222078_at	14
222077_s_at	59.7
