ID_REF	pre_symp_4_VALUE
221865_at	148
221864_at	214
221863_at	6.9
221862_at	56.7
221861_at	139.3
221860_at	107.1
221859_at	263.5
221858_at	9.7
221857_s_at	91.6
221856_s_at	361.3
221855_at	237.2
221854_at	3.9
221853_s_at	113.2
221852_at	4.2
221851_at	16.3
221850_x_at	143
221849_s_at	29.3
221848_at	13.4
221847_at	71.2
221846_s_at	12.1
221845_s_at	110.6
221844_x_at	374.6
221843_s_at	17.4
221842_s_at	107
221841_s_at	238.5
221840_at	582
221839_s_at	133.5
221838_at	22.3
221837_at	2.9
221836_s_at	165.3
221835_at	11
221834_at	180.7
221833_at	11.1
221832_s_at	87.7
221831_at	10.9
221830_at	39.5
221829_s_at	249.7
221828_s_at	64.5
221827_at	467.3
221826_at	14
221825_at	120.3
221824_s_at	439.3
221823_at	6.7
221822_at	87.2
221821_s_at	10.5
221820_s_at	174.6
221819_at	452.7
221818_at	48.7
221817_at	264.5
221816_s_at	732.3
221815_at	70.5
221814_at	33.1
221813_at	183.2
221812_at	15.8
221811_at	18.3
221810_at	23
221809_at	18.5
221808_at	111.5
221807_s_at	10
221806_s_at	198
221805_at	1.9
221804_s_at	679
221803_s_at	134.9
221802_s_at	65.5
221801_x_at	71.9
221800_s_at	142.5
221799_at	18.3
221798_x_at	5249.1
221797_at	15.2
221796_at	1.7
221795_at	31.6
221794_at	19.1
221793_at	8.2
221792_at	119.2
221791_s_at	827.8
221790_s_at	104.7
221789_x_at	95.8
221788_at	12.8
221787_at	73.8
221786_at	56.3
221785_at	50.3
221784_at	18.3
221783_at	144.1
221782_at	47.3
221781_s_at	2.7
221780_s_at	18.4
221779_at	37.5
221778_at	261.3
221777_at	16.5
221776_s_at	88.9
221775_x_at	953.6
221774_x_at	137
221773_at	63.5
221772_s_at	12.9
221771_s_at	2.3
221770_at	11.4
221769_at	7.4
221768_at	56.2
221767_x_at	189.3
221766_s_at	644.3
221765_at	26.3
221764_at	2460.4
221763_at	66.6
221762_s_at	118.3
221761_at	132.1
221760_at	22.9
221759_at	14.3
221758_at	124.7
221757_at	45.1
221756_at	138.8
221755_at	28.4
221754_s_at	5
221753_at	76.4
221752_at	89.4
221751_at	44.5
221750_at	34.2
221749_at	97.3
221748_s_at	183.5
221747_at	26.6
221746_at	113.5
221745_at	73.8
221744_at	96.6
221743_at	499.7
221742_at	173.7
221741_s_at	261.4
221740_x_at	37
221739_at	245.3
221738_at	74.2
221737_at	75.9
221736_at	166.5
221735_at	15.2
221734_at	12.8
221733_s_at	81.1
221732_at	56.2
221731_x_at	2217.5
221730_at	43.5
221729_at	64.3
221728_x_at	259.9
221727_at	19.5
221726_at	644.2
221725_at	151.5
221724_s_at	54.7
221723_s_at	9.6
221722_x_at	10.7
221721_s_at	2
221720_s_at	48.5
221719_s_at	18.2
221718_s_at	215.4
221717_at	111.8
221716_s_at	17.8
221715_at	40.7
221714_s_at	4.8
221713_s_at	6.6
221712_s_at	70.1
221711_s_at	180.5
221710_x_at	7.6
221709_s_at	63.1
221708_s_at	33.2
221707_s_at	61.4
221706_s_at	48.7
221705_s_at	75.8
221704_s_at	28.8
221703_at	16.7
221702_s_at	153.4
221701_s_at	92.3
221700_s_at	4657.3
221699_s_at	10.5
221698_s_at	1600.3
221697_at	5.9
221696_s_at	12.2
221695_s_at	59.9
221693_s_at	199
221692_s_at	15.8
221691_x_at	178.5
221690_s_at	71.3
221689_s_at	105.3
221688_s_at	213.6
221687_s_at	58.5
221686_s_at	65.1
221685_s_at	6.7
221684_s_at	66.7
221683_s_at	19.5
221682_s_at	3
221681_s_at	36.5
221680_s_at	140.5
221679_s_at	81.3
221678_at	4.7
221677_s_at	25.2
221676_s_at	402.9
221675_s_at	425.4
221674_s_at	139.3
221673_s_at	4.7
221672_s_at	5.3
221671_x_at	2978
221670_s_at	138.6
221669_s_at	105.1
221668_s_at	11.1
221667_s_at	24.8
221666_s_at	301.4
221665_s_at	3.8
