ID_REF	symp_8_VALUE
31835_at	82.6
31826_at	227.2
31807_at	95.6
31799_at	21.9
31637_s_at	137
266_s_at	123.4
243_g_at	95.6
222384_at	7.6
222383_s_at	4.6
222382_x_at	35
222381_at	63.8
222380_s_at	166.3
222379_at	3
222378_at	30
222377_at	37.3
222376_at	90.2
222375_at	3
222374_at	42.7
222373_at	3
222372_at	6
222371_at	234
222370_x_at	120.7
222369_at	52.3
222368_at	139.1
222367_at	19.5
222366_at	51.1
222365_at	5.4
222364_at	23.6
222363_at	68.5
222362_at	12.1
222361_at	8.5
222360_at	13.4
222359_x_at	0.8
222358_x_at	30.3
222357_at	47.8
222356_at	47.5
222355_at	27.2
222354_at	4.8
222353_at	3.5
222352_at	40.2
222351_at	4
222350_at	6.9
222349_x_at	14.4
222348_at	2.2
222347_at	6.4
222346_at	37.6
222345_at	13.6
222344_at	10
222343_at	7.6
222342_at	5.7
222341_x_at	29.8
222340_at	13
222339_x_at	128.8
222338_x_at	74.6
222337_at	7.8
222336_at	2.7
222335_at	8.7
222334_at	23.3
222333_at	146.3
222332_at	2.6
222331_at	8.3
222330_at	3.6
222329_x_at	80.3
222328_x_at	32.6
222327_x_at	8.2
222326_at	65.3
222325_at	13.2
222324_at	7
222323_at	43
222322_at	1.7
222321_at	13.4
222320_at	0.4
222319_at	62.2
222318_at	106
222317_at	60.4
222316_at	28.3
222315_at	32.8
222314_x_at	14.2
222313_at	1.3
222312_s_at	68.2
222311_s_at	41.7
222310_at	41.1
222309_at	18
222308_x_at	2.2
222307_at	64
222306_at	5.5
222305_at	21.6
222304_x_at	14.5
222303_at	50.3
222302_at	99
222301_at	77.9
222300_at	2.6
222299_x_at	5.4
222298_at	6.9
222297_x_at	276.5
222296_at	9.8
222295_x_at	27.4
222294_s_at	321
222293_at	62.9
222292_at	8
222291_at	32.3
222290_at	5.9
222289_at	9.5
222288_at	7.2
222287_at	7
222286_at	29.8
222285_at	44.5
222284_at	7
222283_at	24.1
222282_at	61.5
222281_s_at	47.2
222280_at	420
222279_at	190.3
222278_at	22.9
222277_at	69.1
222276_at	4.2
222275_at	137.4
222274_at	11.7
222273_at	61.3
222272_x_at	2.6
222271_at	72.4
222270_at	0.8
222269_at	6
222268_x_at	12.9
222267_at	2.8
222266_at	47.5
222265_at	29
222264_at	126
222263_at	57.5
222262_s_at	55.2
222261_at	7.6
222260_at	23.2
222259_s_at	5.2
222258_s_at	9.5
222257_s_at	34.6
222256_s_at	11.2
222255_at	3.7
222254_at	7.7
222253_s_at	5.1
222252_x_at	76.3
222251_s_at	62.3
222250_s_at	33.3
222249_at	15.6
222248_s_at	5.1
222247_at	62.6
222246_at	6.3
222245_s_at	48.3
222244_s_at	283.4
222243_s_at	107.7
